Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F30.10,"[F30.10] Manic episode without psychotic symptoms, unspecified",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F30.11,"[F30.11] Manic episode without psychotic symptoms, mild",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F30.12,"[F30.12] Manic episode without psychotic symptoms, moderate",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F30.13,"[F30.13] Manic episode, severe, without psychotic symptoms",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F30.2,"[F30.2] Manic episode, severe with psychotic symptoms",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F30.3,[F30.3] Manic episode in partial remission,ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F30.4,[F30.4] Manic episode in full remission,ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F30.8,[F30.8] Other manic episodes,ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F30.9,"[F30.9] Manic episode, unspecified",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.0,"[F31.0] Bipolar disorder, current episode hypomanic",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.10,"[F31.10] Bipolar disorder, current episode manic without psychotic features, unspecified",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.11,"[F31.11] Bipolar disorder, current episode manic without psychotic features, mild",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.12,"[F31.12] Bipolar disorder, current episode manic without psychotic features, moderate",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.13,"[F31.13] Bipolar disorder, current episode manic without psychotic features, severe",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.2,"[F31.2] Bipolar disorder, current episode manic severe with psychotic features",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.30,"[F31.30] Bipolar disorder, current episode depressed, mild or moderate severity, unspecified",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.31,"[F31.31] Bipolar disorder, current episode depressed, mild",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.32,"[F31.32] Bipolar disorder, current episode depressed, moderate",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.4,"[F31.4] Bipolar disorder, current episode depressed, severe, without psychotic features",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.5,"[F31.5] Bipolar disorder, current episode depressed, severe, with psychotic features",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.60,"[F31.60] Bipolar disorder, current episode mixed, unspecified",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.61,"[F31.61] Bipolar disorder, current episode mixed, mild",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.62,"[F31.62] Bipolar disorder, current episode mixed, moderate",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.63,"[F31.63] Bipolar disorder, current episode mixed, severe, without psychotic features",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.64,"[F31.64] Bipolar disorder, current episode mixed, severe, with psychotic features",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.70,"[F31.70] Bipolar disorder, currently in remission, most recent episode unspecified",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.71,"[F31.71] Bipolar disorder, in partial remission, most recent episode hypomanic",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.72,"[F31.72] Bipolar disorder, in full remission, most recent episode hypomanic",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.73,"[F31.73] Bipolar disorder, in partial remission, most recent episode manic",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.74,"[F31.74] Bipolar disorder, in full remission, most recent episode manic",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.75,"[F31.75] Bipolar disorder, in partial remission, most recent episode depressed",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.76,"[F31.76] Bipolar disorder, in full remission, most recent episode depressed",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.77,"[F31.77] Bipolar disorder, in partial remission, most recent episode mixed",ICD10CM,2.16.840.1.113883.6.90
Bipolar Disorder,2.16.840.1.113883.3.464.1004.1044,F31.78,"[F31.78] Bipolar disorder, in full remission, most recent episode mixed",ICD10CM,2.16.840.1.113883.6.90
